Removed Member From Class: ClassName=U_CAN Member=C43
Removed Member From Class: ClassName=U_CAN Member=C44
Removed Member From Class: ClassName=U_CAN Member=C46
Removed Member From Class: ClassName=U_CAN Member=C47
Removed Member From Class: ClassName=U_Power Supply Member=D6
Removed Member From Class: ClassName=U_Power Supply Member=D7
Removed Member From Class: ClassName=U_Power Supply Member=L3
Removed Member From Class: ClassName=U_Power Supply Member=R15
Added Member To Class: ClassName=TB2 Member=Component C23_TB2 (C23) 100nF
Added Member To Class: ClassName=TB3 Member=Component C23_TB3 (C23) 100nF
Added Member To Class: ClassName=U_CAN Member=Component C29 100nF
Added Member To Class: ClassName=U_CAN Member=Component C30 10nF
Added Member To Class: ClassName=U_CAN Member=Component C32 100nF
Added Member To Class: ClassName=U_CAN Member=Component C33 10uF
Added Member To Class: ClassName=U_Power Supply Member=Component D3 SM6T39CAY
Added Member To Class: ClassName=U_Power Supply Member=Component D4 Red
Added Member To Class: ClassName=U_Power Supply Member=Component L2 47 uH
Add Class Member: Failed to add class member : Component P1 39293106
Add Class Member: Failed to add class member : Component P2 39293106
Add Class Member: Failed to add class member : Component P4 39293106
Add Class Member: Failed to add class member : Component P5 39293106
Add Class Member: Failed to add class member : Component P6 39293106
Add Class Member: Failed to add class member : Component P7 39293106
Added Member To Class: ClassName=U_Power Supply Member=Component R3 0R
Added Member To Class: ClassName=U_Power Supply Member=Component R4 2K
Added Member To Class: ClassName=TB1 Member=Component R6_TB1 (R6) 1k
Added Member To Class: ClassName=TB2 Member=Component R8_TB2 (R8) 1k
Added Member To Class: ClassName=TB3 Member=Component R9_TB3 (R9) 1k
Added Member To Class: ClassName=TB4 Member=Component R10_TB4 (R10) 1k
Added Member To Class: ClassName=TB6 Member=Component R10_TB6 (R10) 1k
Added Member To Class: ClassName=TB5 Member=Component R14_TB5 (R14) 1.2k
Add Class Member: Failed to add class member : Component RS1 RS
Add Class Member: Failed to add class member : Component U4_TB1 (U4) ADUM5401
Add Class Member: Failed to add class member : Component U4_TB2 (U4) ADUM5401
Add Class Member: Failed to add class member : Component U4_TB3 (U4) ADUM5401
Add Class Member: Failed to add class member : Component U4_TB4 (U4) ADUM5401
Add Class Member: Failed to add class member : Component U4_TB5 (U4) ADUM5401
Add Class Member: Failed to add class member : Component U4_TB6 (U4) ADUM5401
Add Class Member: Failed to add class member : Component U6 ADM3053
